episode,timestep,reward,steps,success
706,117755,248.71,79,1
707,117870,290.35,115,1
708,118025,312.95,155,1
709,118140,275.3501,115,1
710,118231,273.59,91,1
711,118340,278.41,109,1
712,118476,298.64,136,1
713,118604,307.72,128,1
714,118661,247.93,57,1
715,118752,275.59,91,1
716,118895,300.07,143,1
717,119079,325.16,184,1
718,119248,312.8099,169,1
719,119303,244.95,55,1
720,119415,276.88,112,1
721,119512,275.53,97,1
722,119627,292.35,115,1
723,119775,316.5199,148,1
724,119854,268.71,79,1
725,119955,264.4901,101,1
726,120018,253.87,63,1
727,120122,275.96,104,1
728,120237,286.35,115,1
729,120359,293.78,122,1
730,120531,313.2799,172,1
731,120628,277.53,97,1
732,120758,294.7,130,1
733,120917,309.9099,159,1
734,121009,276.08,92,1
735,121081,255.28,72,1
736,121277,346.04,196,1
737,121376,265.5101,99,1
738,121530,313.4599,154,1
739,121680,302.5,150,1
740,121752,255.28,72,1
741,121902,307.4999,150,1
742,121964,244.38,62,1
743,122084,287.8,120,1
744,122242,322.4199,158,1
745,122310,257.32,68,1
746,122388,264.22,78,1
747,122454,249.34,66,1
748,122564,281.9,110,1
749,122709,289.05,145,1
750,122858,310.01,149,1
751,123025,328.8299,167,1
752,123201,330.2399,176,1
753,123368,303.83,167,1
754,123456,271.12,88,1
755,123622,320.3399,166,1
756,123683,252.89,61,1
757,123793,290.9,110,1
758,123962,311.8099,169,1
759,124070,277.92,108,1
760,124153,272.67,83,1
761,124254,275.49,101,1
762,124394,300.6,140,1
763,124528,305.66,134,1
764,124593,247.85,65,1
765,124689,275.04,96,1
766,124824,301.15,135,1
767,124986,330.3799,162,1
768,125130,319.5599,144,1
769,125183,243.97,53,1
770,125281,279.02,98,1
771,125375,275.06,94,1
772,125489,288.86,114,1
773,125643,314.4599,154,1
774,125733,267.1001,90,1
775,125816,267.67,83,1
776,125885,252.81,69,1
777,125982,276.53,97,1
778,126100,282.82,118,1
779,126219,295.31,119,1
780,126372,316.97,153,1
781,126471,279.51,99,1
782,126582,294.39,111,1
783,126734,312.4799,152,1
784,126832,276.02,98,1
785,126914,255.18,82,1
786,127114,346.0,200,1
787,127197,268.67,83,1
788,127357,316.3999,160,1
789,127512,299.95,155,1
790,127586,256.26,74,1
791,127728,308.5799,142,1
792,127780,245.48,52,1
793,127890,290.9,110,1
794,128065,322.75,175,1
795,128140,255.75,75,1
796,128215,264.75,75,1
797,128280,246.85,65,1
798,128385,283.45,105,1
799,128524,293.11,139,1
800,128663,314.1099,139,1
